Response Received Date,Interaction Id,Overall Experience-Value,Comments,Feedback Category,Subcategory,Survey Source
,Sat Jan 21 00:00:00 GMT 2023,5,Great and quick to ship,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Sat Jan 21 00:00:00 GMT 2023,5,Very easy to navigate the entire site. Great turnaround time from order to ship!,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Sat Jan 21 00:00:00 GMT 2023,5,Delivered earlier than expected,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,5,great and fast shipping,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,5,Fast and easy !,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,5,Quick packing and delivery! Thank you!,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,5,Love how easy it is and the quick deliveries,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,5,Ease and convenience in tracking orders!,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Fri Jan 20 00:00:00 GMT 2023,1,"I placed an order on Dec 4, 2022. I have yet to receive the order as of Jan 20, 2023. I understand that I am on a military base, but UPS does not deliver here. Pre-Covid, I would receive orders in under 3 weeks. I am disappointed, as are the parents and kids at my school.",Delivered Late,Delivered Late,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2023,5,"Quick, easy ordering- fast delivery!",Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2023,5,Fantastic! Love the options to buy books for my daughter while helping her friends classroom,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2023,5,Box arrived earlier than expected.,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2023,5,so far....,Other,Other,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2023,5,Great and easy,Thanks/Praise,Thanks/Praise,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2025,2,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2026,2,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2027,2,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2028,3,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2029,3,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2030,3,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2031,3,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2032,3,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2033,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2034,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2035,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2036,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2037,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2038,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2039,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2040,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2041,4,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2042,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2043,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2044,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2045,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2046,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2047,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2048,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2049,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2050,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2051,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2052,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2053,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2054,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2055,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2056,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2057,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2058,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2059,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2060,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2061,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2062,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2063,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2064,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2065,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2066,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2067,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2068,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2069,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2070,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2071,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2072,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2073,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2074,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2075,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2076,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2077,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2078,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2079,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2080,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2081,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2082,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2083,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2084,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2085,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2086,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,Thu Jan 19 00:00:00 GMT 2087,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
